,Index_ID,Animal_ID,Found_Location,Found_Location_count,State,City,Address
16418,61023,A680881,3407 Dolphin in Austin (TX),5,(TX),Austin,3407 Dolphin in
16420,121219,A680883,5300 Village Cv in Austin (TX),6,(TX),Austin,5300 Village Cv in
16421,6932,A680884,3421 W. William Cannon #110 in Austin (TX),8,(TX),Austin,3421 W. William Cannon #110 in
16427,84495,A680895,3431 Willowrun Dr in Austin (TX),6,(TX),Austin,3431 Willowrun Dr in
16428,43038,A680896,8033 Gessner Dr in Austin (TX),6,(TX),Austin,8033 Gessner Dr in
16432,10206,A680900,11701 Big Trail in Austin (TX),6,(TX),Austin,11701 Big Trail in
16433,122571,A680902,1200 Frontier Valley in Austin (TX),6,(TX),Austin,1200 Frontier Valley in
16435,67011,A680907,2214 Haskill St in Austin (TX),6,(TX),Austin,2214 Haskill St in
16445,67668,A680915,7400 Loyola Ln in Austin (TX),6,(TX),Austin,7400 Loyola Ln in
16446,68933,A680916,12836 Hwy 290 in Manor (TX),6,(TX),Manor,12836 Hwy 290 in
16447,101463,A680917,1911 Williow Creek in Austin (TX),6,(TX),Austin,1911 Williow Creek in
16449,108114,A680919,2204 Airport Blvd in Austin (TX),6,(TX),Austin,2204 Airport Blvd in
16450,12883,A680920,5502 Sapote Court in Austin (TX),6,(TX),Austin,5502 Sapote Court in
16453,135466,A680923,9620 Chukar Cir. in Austin (TX),6,(TX),Austin,9620 Chukar Cir. in
16454,41955,A680924,8225 Sam Rayburn Dr. in Austin (TX),7,(TX),Austin,8225 Sam Rayburn Dr. in
16462,1293,A680939,2003 Ouida Dr in Austin (TX),6,(TX),Austin,2003 Ouida Dr in
16463,72287,A680940,8904 Chisolm Lane in Austin (TX),6,(TX),Austin,8904 Chisolm Lane in
16464,132684,A680942,2509 Elara in Austin (TX),5,(TX),Austin,2509 Elara in
16466,5482,A680948,8101 Salt Springs Dr in Austin (TX),7,(TX),Austin,8101 Salt Springs Dr in
16477,142467,A680961,7303 Manchaca in Austin (TX),5,(TX),Austin,7303 Manchaca in
16479,83708,A680966,4701 Staggerbrush Rd in Austin (TX),6,(TX),Austin,4701 Staggerbrush Rd in
16483,95591,A680970,8504 Linden Loop in Travis (TX),6,(TX),Travis,8504 Linden Loop in
16490,39265,A680979,18709 Great Falls Dr in Austin (TX),7,(TX),Austin,18709 Great Falls Dr in
16491,30146,A680982,8510 Elroy Rd in Travis (TX),6,(TX),Travis,8510 Elroy Rd in
16506,96544,A680997,7109 Walkup Ln in Austin (TX),6,(TX),Austin,7109 Walkup Ln in
16507,10055,A680998,510 Hickory Ridge in Travis (TX),6,(TX),Travis,510 Hickory Ridge in
16509,16989,A681000,1905 Hearthstone in Austin (TX),5,(TX),Austin,1905 Hearthstone in
16511,87222,A681002,8312 N Ih 35 in Austin (TX),7,(TX),Austin,8312 N Ih 35 in
16512,122926,A681003,18649 Fm1431 in Jonestown (TX),5,(TX),Jonestown,18649 Fm1431 in
16513,30611,A681004,7239 Ellington in Austin (TX),5,(TX),Austin,7239 Ellington in
16519,18115,A681013,3300 Thompson St in Austin (TX),6,(TX),Austin,3300 Thompson St in
16520,114913,A681014,7407 Wild Onion Drive in Austin (TX),7,(TX),Austin,7407 Wild Onion Drive in
16528,127888,A681022,20300 Trappers Trail in Manor (TX),6,(TX),Manor,20300 Trappers Trail in
16529,129844,A681025,4610 Norwood Lane in Austin (TX),6,(TX),Austin,4610 Norwood Lane in
16530,10116,A681027,8507 Georgian Dr in Austin (TX),6,(TX),Austin,8507 Georgian Dr in
16536,91764,A681033,3456 N Hills in Austin (TX),6,(TX),Austin,3456 N Hills in
16541,82715,A681039,6001 Brokenspoke Trl in Austin (TX),6,(TX),Austin,6001 Brokenspoke Trl in
16545,121369,A681043,4311 Small Dr in Austin (TX),6,(TX),Austin,4311 Small Dr in
16550,135753,A681059,1000 Tillery in Austin (TX),5,(TX),Austin,1000 Tillery in
16555,39589,A681064,7517 Carver Ave. in Austin (TX),6,(TX),Austin,7517 Carver Ave. in
16556,103584,A681065,7517 Carver Ave in Austin (TX),6,(TX),Austin,7517 Carver Ave in
16566,131363,A681094,4600 Prock in Austin (TX),5,(TX),Austin,4600 Prock in
16570,115037,A681096,5016 Miller Ln in Travis (TX),6,(TX),Travis,5016 Miller Ln in
16571,116636,A681097,4712 E Yager in Austin (TX),6,(TX),Austin,4712 E Yager in
16573,90064,A681099,2220 Mission Hill Dr in Austin (TX),7,(TX),Austin,2220 Mission Hill Dr in
16576,25232,A681103,3600 Sawmill Dr in Austin (TX),6,(TX),Austin,3600 Sawmill Dr in
16577,100808,A681104,2915  Aftonshire Way #2-203 in Austin (TX),8,(TX),Austin,2915 Aftonshire Way #2-203 in
16581,37673,A681115,6706 Starcrest Ln in Austin (TX),6,(TX),Austin,6706 Starcrest Ln in
16582,20825,A681122,10502 Wendts Way in Austin (TX),6,(TX),Austin,10502 Wendts Way in
16592,98475,A681140,9402 Freight Ln in Austin (TX),6,(TX),Austin,9402 Freight Ln in
16597,45038,A681149,5701 Johnney Morris Road in Austin (TX),7,(TX),Austin,5701 Johnney Morris Road in
16600,91246,A681152,12610 Brodie Ln in Austin (TX),6,(TX),Austin,12610 Brodie Ln in
16602,53448,A681155,5700 Jfk in Travis (TX),5,(TX),Travis,5700 Jfk in
16605,43123,A681157,10Th And Red River in Austin (TX),7,(TX),Austin,10Th And Red River in
16608,72611,A681162,5701 S Mopac Apt 1813 in Austin (TX),8,(TX),Austin,5701 S Mopac Apt 1813 in
16619,28396,A681170,7801 Doncaster in Austin (TX),5,(TX),Austin,7801 Doncaster in
16623,34397,A681174,3522 E Mlk in Austin (TX),6,(TX),Austin,3522 E Mlk in
16633,108661,A681181,76 San Saba St in Austin (TX),7,(TX),Austin,76 San Saba St in
16634,123903,A681183,4500 Quicksilver in Austin (TX),5,(TX),Austin,4500 Quicksilver in
16637,143148,A681190,8339 Research Blvd in Austin (TX),6,(TX),Austin,8339 Research Blvd in
16638,133335,A681193,13005 Heinemann Dr in Austin (TX),6,(TX),Austin,13005 Heinemann Dr in
16648,122346,A681207,2013 Conestoga Trl in Austin (TX),6,(TX),Austin,2013 Conestoga Trl in
16651,21479,A681212,1804 Nightview Dr in Pflugerville (TX),6,(TX),Pflugerville,1804 Nightview Dr in
16657,2690,A681219,13005 Heinemann in Austin (TX),5,(TX),Austin,13005 Heinemann in
16662,140531,A681224,9220 N 35 in Austin (TX),6,(TX),Austin,9220 N 35 in
16667,28464,A681227,2305 Mission Hill Dr in Austin (TX),7,(TX),Austin,2305 Mission Hill Dr in
16668,66897,A681228,1401 Power Ln in Travis (TX),6,(TX),Travis,1401 Power Ln in
16672,129114,A681234,7100 Outfitter Dr in Austin (TX),6,(TX),Austin,7100 Outfitter Dr in
16673,1568,A681235,9001 Tuscany Way in Austin (TX),6,(TX),Austin,9001 Tuscany Way in
16674,32652,A681236,5341 Sendero Hills in Austin (TX),6,(TX),Austin,5341 Sendero Hills in
16677,122433,A681239,24Th/ Longview in Austin (TX),5,(TX),Austin,24Th/ Longview in
16678,38082,A681240,201 W 30Th in Austin (TX),6,(TX),Austin,201 W 30Th in
16679,22853,A681241,1300 E M Franklin in Austin (TX),7,(TX),Austin,1300 E M Franklin in
16680,75425,A681242,209 Turkey Run in Travis (TX),6,(TX),Travis,209 Turkey Run in
16684,16358,A681246,802 S Ist St in Austin (TX),7,(TX),Austin,802 S Ist St in
16687,14954,A681250,9415 Mcneil Dr in Austin (TX),6,(TX),Austin,9415 Mcneil Dr in
16688,128084,A681251,8021 N Fm 620 in Austin (TX),7,(TX),Austin,8021 N Fm 620 in
16695,51395,A681255,5504 Fern View Rd in Austin (TX),7,(TX),Austin,5504 Fern View Rd in
16697,141958,A681257,1128 Spur St in Austin (TX),6,(TX),Austin,1128 Spur St in
16700,45433,A681260,515 Krebs Ln in Austin (TX),6,(TX),Austin,515 Krebs Ln in
16702,118984,A681262,9024 Northgate Blvd in Austin (TX),6,(TX),Austin,9024 Northgate Blvd in
16703,30874,A681263,8210 Edgemoor Pl in Austin (TX),6,(TX),Austin,8210 Edgemoor Pl in
16708,113613,A681268,1044 Norwood Park Blvd in Austin (TX),7,(TX),Austin,1044 Norwood Park Blvd in
16710,126042,A681270,11102 Ptarmigan Dr in Austin (TX),6,(TX),Austin,11102 Ptarmigan Dr in
16722,84286,A681285,4912 W Francis Place in Austin (TX),7,(TX),Austin,4912 W Francis Place in
16727,59950,A681289,7800 Northcrest #102 in Austin (TX),6,(TX),Austin,7800 Northcrest #102 in
16733,27433,A681295,4411 Dovewood Dr in Austin (TX),6,(TX),Austin,4411 Dovewood Dr in
16737,108178,A681305,2401 S Lakeshore Blvd Unit 103 in Austin (TX),9,(TX),Austin,2401 S Lakeshore Blvd Unit 103 in
16738,75498,A681306,10300 Larado Dr in Austin (TX),6,(TX),Austin,10300 Larado Dr in
16741,129907,A681310,2809 Parker Ln in Austin (TX),6,(TX),Austin,2809 Parker Ln in
16743,25671,A681325,10005 Shively Ln in Austin (TX),6,(TX),Austin,10005 Shively Ln in
16747,116454,A681329,5129 Cameron in Austin (TX),5,(TX),Austin,5129 Cameron in
16749,129941,A681339,5338 Thunder Creek in Austin (TX),6,(TX),Austin,5338 Thunder Creek in
16762,9443,A681350,802 S 1St in Austin (TX),6,(TX),Austin,802 S 1St in
16764,142639,A681352,7406 Onion Crossing in Austin (TX),6,(TX),Austin,7406 Onion Crossing in
16767,42679,A681355,5304 Ranch Rd 2222 in Austin (TX),7,(TX),Austin,5304 Ranch Rd 2222 in
16768,31079,A681356,1400 Braided Rope in Austin (TX),6,(TX),Austin,1400 Braided Rope in
16769,121346,A681358,3500 Crownover in Austin (TX),5,(TX),Austin,3500 Crownover in
16773,124307,A681362,12613 Belcara Place in Austin (TX),6,(TX),Austin,12613 Belcara Place in
16774,10469,A681363,833 Whitehall Dr in Pflugerville (TX),6,(TX),Pflugerville,833 Whitehall Dr in
16775,101046,A681364,4600 Reyes St in Austin (TX),6,(TX),Austin,4600 Reyes St in
16777,674,A681367,1722 Colony Creek Dr in Austin (TX),7,(TX),Austin,1722 Colony Creek Dr in
16779,68821,A681369,6109 Cougar in Austin (TX),5,(TX),Austin,6109 Cougar in
16784,133062,A681375,1136 Elanor St in Austin (TX),6,(TX),Austin,1136 Elanor St in
16790,126959,A681381,15508 Sarah'S Creek in Pflugerville (TX),6,(TX),Pflugerville,15508 Sarah'S Creek in
16794,28216,A681387,821 Sirocco Dr in Austin (TX),6,(TX),Austin,821 Sirocco Dr in
16795,102484,A681388,2612 Cockburn Dr. in Austin (TX),6,(TX),Austin,2612 Cockburn Dr. in
16798,83263,A681392,8303 Coulver Rd in Austin (TX),6,(TX),Austin,8303 Coulver Rd in
16802,39143,A681398,802 S 1St St in Austin (TX),7,(TX),Austin,802 S 1St St in
16803,56540,A681399,4707 Munson in Austin (TX),5,(TX),Austin,4707 Munson in
16817,118434,A681414,7406 Onion Crossing Dr in Austin (TX),7,(TX),Austin,7406 Onion Crossing Dr in
16818,60525,A681416,20614 Moses Dr in Travis (TX),6,(TX),Travis,20614 Moses Dr in
16821,84148,A681419,1210 Coleto St in Austin (TX),6,(TX),Austin,1210 Coleto St in
16823,90253,A681421,6210 E Ben White Blvd in Austin (TX),8,(TX),Austin,6210 E Ben White Blvd in
16824,2092,A681422,23393 Nameless Rd in Travis (TX),6,(TX),Travis,23393 Nameless Rd in
16830,121104,A681431,1205  Westmoor in Austin (TX),6,(TX),Austin,1205 Westmoor in
16836,87851,A681438,7000 Montana St in Austin (TX),6,(TX),Austin,7000 Montana St in
16837,54243,A681439,6100 Kasper in Austin (TX),5,(TX),Austin,6100 Kasper in
16839,121955,A681441,1307 Southport in Austin (TX),5,(TX),Austin,1307 Southport in
16844,93535,A681450,1109 Fiesta St in Austin (TX),6,(TX),Austin,1109 Fiesta St in
16848,66401,A681455,14212 Wells School Rd in Travis (TX),7,(TX),Travis,14212 Wells School Rd in
16850,102256,A681459,8607 Cretys Cv in Austin (TX),6,(TX),Austin,8607 Cretys Cv in
16852,30381,A681461,6111 Blarwood in Austin (TX),5,(TX),Austin,6111 Blarwood in
16853,76583,A681462,5609 Glouchester in Austin (TX),5,(TX),Austin,5609 Glouchester in
16854,104044,A681463,4707 Munson Ave in Austin (TX),6,(TX),Austin,4707 Munson Ave in
16858,14235,A681466,5361 Ih 35 Frontage Rd in Austin (TX),8,(TX),Austin,5361 Ih 35 Frontage Rd in
16859,81378,A681467,1604 E 11Th St in Austin (TX),7,(TX),Austin,1604 E 11Th St in
16860,125912,A681468,1030 Norwood Park Boulevard in Austin (TX),7,(TX),Austin,1030 Norwood Park Boulevard in
16863,118237,A681471,2305 E 7Th St in Austin (TX),7,(TX),Austin,2305 E 7Th St in
16873,42335,A681481,11303 Randy Rd in Austin (TX),6,(TX),Austin,11303 Randy Rd in
16875,100818,A681483,2610 S I-H-35 in Austin (TX),6,(TX),Austin,2610 S I-H-35 in
16877,98314,A681485,1800 Patton Ln in Austin (TX),6,(TX),Austin,1800 Patton Ln in
16878,125972,A681486,4300 Nixon Ln in Austin (TX),6,(TX),Austin,4300 Nixon Ln in
16879,26826,A681488,9940 Wading Pool in Austin (TX),6,(TX),Austin,9940 Wading Pool in
16880,41840,A681489,512 E. Annie Street in Austin (TX),7,(TX),Austin,512 E. Annie Street in
16886,9202,A681494,401 Tillery in Austin (TX),5,(TX),Austin,401 Tillery in
16896,47078,A681505,800 W 38Th St in Austin (TX),7,(TX),Austin,800 W 38Th St in
16902,136427,A681510,215 E 6Th Street in Austin (TX),7,(TX),Austin,215 E 6Th Street in
16909,92231,A681517,2213 Patsy Parkway in Austin (TX),6,(TX),Austin,2213 Patsy Parkway in
16912,129309,A681522,900 W Riverside Dr. in Austin (TX),7,(TX),Austin,900 W Riverside Dr. in
16913,123183,A681524,12118 Walnut Park Xing. in Austin (TX),7,(TX),Austin,12118 Walnut Park Xing. in
16931,20068,A681542,1139 Richardine Ave in Austin (TX),6,(TX),Austin,1139 Richardine Ave in
16936,83821,A681547,21509 Cherry Hollow Trl in Travis (TX),7,(TX),Travis,21509 Cherry Hollow Trl in
16938,2824,A681550,6806 Montana St in Austin (TX),6,(TX),Austin,6806 Montana St in
16941,112930,A681555,5505 Emerald Forest in Austin (TX),6,(TX),Austin,5505 Emerald Forest in
16942,89610,A681556,50 Robert Martinez in Austin (TX),6,(TX),Austin,50 Robert Martinez in
16944,113574,A681558,1800 Patton Ln. in Austin (TX),6,(TX),Austin,1800 Patton Ln. in
16945,3316,A681559,13006 Garfield Ln in Austin (TX),6,(TX),Austin,13006 Garfield Ln in
16946,32946,A681560,11605 Gungrove in Austin (TX),5,(TX),Austin,11605 Gungrove in
16950,50005,A681565,14934 Swiss Sr in Travis (TX),6,(TX),Travis,14934 Swiss Sr in
16952,139850,A681567,4808 Brown Bark Place in Austin (TX),7,(TX),Austin,4808 Brown Bark Place in
16966,30035,A681581,8410  Garcreek Cir.#C in Austin (TX),7,(TX),Austin,8410 Garcreek Cir.#C in
16968,132426,A681583,5824 Encinal Cv in Austin (TX),6,(TX),Austin,5824 Encinal Cv in
16973,135360,A681592,11804 Highland Oaks Trl in Austin (TX),7,(TX),Austin,11804 Highland Oaks Trl in
16974,81818,A681593,7505 Calumet in Austin (TX),5,(TX),Austin,7505 Calumet in
16979,100991,A681603,1500 Crossing Place in Austin (TX),6,(TX),Austin,1500 Crossing Place in
16981,1655,A681607,6600 Cromarty Ln in Austin (TX),6,(TX),Austin,6600 Cromarty Ln in
16984,58203,A681611,2700 W Pecan in Pflugerville (TX),6,(TX),Pflugerville,2700 W Pecan in
16985,8598,A681612,12612 North Lamar Boulevard in Austin (TX),7,(TX),Austin,12612 North Lamar Boulevard in
16986,61849,A681616,11Th And Trinity in Austin (TX),6,(TX),Austin,11Th And Trinity in
16990,28200,A681630,1520 Rutherford Ln in Austin (TX),6,(TX),Austin,1520 Rutherford Ln in
16995,105042,A681635,6800 Burnet Rd in Austin (TX),6,(TX),Austin,6800 Burnet Rd in
16997,85378,A681642,14903 Bern Dr in Del Valle (TX),7,(TX),Valle,14903 Bern Dr in Del
16999,140434,A681643,110 Lessin Ln in Austin (TX),6,(TX),Austin,110 Lessin Ln in
17000,36790,A681664,1307 South Port in Austin (TX),6,(TX),Austin,1307 South Port in
17001,63499,A681668,8808 Wildridge Dr in Austin (TX),6,(TX),Austin,8808 Wildridge Dr in
17005,58860,A681672,6101 Deridder Ct in Austin (TX),6,(TX),Austin,6101 Deridder Ct in
17011,9491,A681684,404 Ralph Ablanedo in Austin (TX),6,(TX),Austin,404 Ralph Ablanedo in
17014,55157,A681695,5404 Village Ln D in Austin (TX),7,(TX),Austin,5404 Village Ln D in
17017,25885,A681697,4100 Tannehill Ln in Austin (TX),6,(TX),Austin,4100 Tannehill Ln in
17019,83521,A681699,7612 Loganberry Dr in Austin (TX),6,(TX),Austin,7612 Loganberry Dr in
17020,45415,A681701,2200 Willow Creed Dr in Austin (TX),7,(TX),Austin,2200 Willow Creed Dr in
17022,79206,A681706,13820 Fm 812 in Del Valle (TX),7,(TX),Valle,13820 Fm 812 in Del
17039,79700,A681738,5506 Teri Rd in Austin (TX),6,(TX),Austin,5506 Teri Rd in
17055,142741,A681770,1525 Barton Springs Rd in Austin (TX),7,(TX),Austin,1525 Barton Springs Rd in
17057,124196,A681772,4105 Victory Dr in Austin (TX),6,(TX),Austin,4105 Victory Dr in
17059,122852,A681774,5400 N Lamar in Austin (TX),6,(TX),Austin,5400 N Lamar in
17069,114518,A681782,307 Tamworth in Austin (TX),5,(TX),Austin,307 Tamworth in
17074,33013,A681792,4108 Nixon Ln in Austin (TX),6,(TX),Austin,4108 Nixon Ln in
17075,109992,A681793,3000 University in Austin (TX),5,(TX),Austin,3000 University in
17078,57674,A681796,183/ 71 in Austin (TX),5,(TX),Austin,183/ 71 in
17079,3463,A681798,14906 Lucerne Dr in Del Valle (TX),7,(TX),Valle,14906 Lucerne Dr in Del
17084,20934,A681803,10953 Colonel Winn Loop in Austin (TX),7,(TX),Austin,10953 Colonel Winn Loop in
17086,35689,A681807,5107 Par Cove in Austin (TX),6,(TX),Austin,5107 Par Cove in
17090,44473,A681814,2933 E 13Th St in Austin (TX),7,(TX),Austin,2933 E 13Th St in
17091,23797,A681815,744 W William Cannon in Austin (TX),7,(TX),Austin,744 W William Cannon in
17092,49037,A681818,5411 Overbrook Dr in Austin (TX),6,(TX),Austin,5411 Overbrook Dr in
17099,10791,A681826,7329 Rhett Place in Austin (TX),6,(TX),Austin,7329 Rhett Place in
17100,94539,A681827,11807 Knights Brg in Austin (TX),6,(TX),Austin,11807 Knights Brg in
17103,79560,A681837,3000 E 51St St in Austin (TX),7,(TX),Austin,3000 E 51St St in
17104,130325,A681838,1603 Future Dr #A in Austin (TX),7,(TX),Austin,1603 Future Dr #A in
17105,122951,A681845,183 & Dessau in Austin (TX),6,(TX),Austin,183 & Dessau in
17108,139074,A681851,5300 Overbrook in Austin (TX),5,(TX),Austin,5300 Overbrook in
17109,137003,A681852,1710 E Oltorf St #511 in Austin (TX),8,(TX),Austin,1710 E Oltorf St #511 in
17118,76144,A681865,90 N Ih35 in Austin (TX),6,(TX),Austin,90 N Ih35 in
17122,110557,A681869,4108 Nixon Lane in Austin (TX),6,(TX),Austin,4108 Nixon Lane in
17123,130643,A681870,2803 Loyola Ln in Austin (TX),6,(TX),Austin,2803 Loyola Ln in
17133,79170,A681878,10317 Hibbs Ln in Manor (TX),6,(TX),Manor,10317 Hibbs Ln in
17138,119846,A681882,6000 Southwood Dr in Austin (TX),6,(TX),Austin,6000 Southwood Dr in
17139,49653,A681883,6313 Del Monte Rd in Austin (TX),7,(TX),Austin,6313 Del Monte Rd in
17140,76072,A681884,1431 Wells Branch Pkwy in Pflugerville (TX),7,(TX),Pflugerville,1431 Wells Branch Pkwy in
17142,63862,A681886,14201 Vandever St in Austin (TX),6,(TX),Austin,14201 Vandever St in
17143,143220,A681887,1109 Westlake Dr in Austin (TX),6,(TX),Austin,1109 Westlake Dr in
17147,128099,A681891,305 S Congress Ave in Austin (TX),7,(TX),Austin,305 S Congress Ave in
17156,104197,A681901,6800 Trandeal Ln in Austin (TX),6,(TX),Austin,6800 Trandeal Ln in
17158,28387,A681903,8028 Gessner Dr in Austin (TX),6,(TX),Austin,8028 Gessner Dr in
17163,52437,A681908,8413 Seminary Ridge Dr in Austin (TX),7,(TX),Austin,8413 Seminary Ridge Dr in
17166,57158,A681910,3811 Leafield Dr in Austin (TX),6,(TX),Austin,3811 Leafield Dr in
17170,133104,A681920,13941 Ashton Woods Cir in Austin (TX),7,(TX),Austin,13941 Ashton Woods Cir in
17173,18343,A681923,6207 Avery Island in Austin (TX),6,(TX),Austin,6207 Avery Island in
17175,28334,A681928,3505 Crownover St in Austin (TX),6,(TX),Austin,3505 Crownover St in
17176,6217,A681930,9102 Happy Trl in Austin (TX),6,(TX),Austin,9102 Happy Trl in
17191,143081,A681957,912 U.S. 183 in Austin (TX),6,(TX),Austin,912 U.S. 183 in
17208,116703,A681974,13 Club Estates in Lakeway (TX),6,(TX),Lakeway,13 Club Estates in
17215,22312,A681981,8801 N Fm 620 in Austin (TX),7,(TX),Austin,8801 N Fm 620 in
17216,123150,A681982,2Nd Street And Pleasant Valley in Austin (TX),8,(TX),Austin,2Nd Street And Pleasant Valley in
17217,44442,A681983,8003 Caribou Parke Cv in Austin (TX),7,(TX),Austin,8003 Caribou Parke Cv in
17218,77254,A681984,11706 Wind Song Cv in Austin (TX),7,(TX),Austin,11706 Wind Song Cv in
17224,128635,A681990,11115 Estes in Austin (TX),5,(TX),Austin,11115 Estes in
17232,101331,A682000,6101 Carnation Terr. in Austin (TX),6,(TX),Austin,6101 Carnation Terr. in
17238,34898,A682004,7020 Grand Canyon Dr. in Austin (TX),7,(TX),Austin,7020 Grand Canyon Dr. in
17250,51049,A682019,5204 E Ben White Blvd in Austin (TX),8,(TX),Austin,5204 E Ben White Blvd in
17252,131894,A682021,12508 Esplanade in Austin (TX),5,(TX),Austin,12508 Esplanade in
17258,49431,A682040,7800 Forest Wood in Austin (TX),6,(TX),Austin,7800 Forest Wood in
17261,932,A682044,15Th And Colorado in Austin (TX),6,(TX),Austin,15Th And Colorado in
17265,23662,A682050,1900 Deer Run in Austin (TX),6,(TX),Austin,1900 Deer Run in
17266,140222,A682052,8409 Jamestown Dr in Austin (TX),6,(TX),Austin,8409 Jamestown Dr in
17272,29660,A682057,10000 N Lamar Blvd in Austin (TX),7,(TX),Austin,10000 N Lamar Blvd in
17275,30016,A682063,17400 Rush Pea Cir in Austin (TX),7,(TX),Austin,17400 Rush Pea Cir in
17282,45374,A682071,4344 Frontier Trl. in Austin (TX),6,(TX),Austin,4344 Frontier Trl. in
17283,44768,A682072,4434 Frontier Trl. in Austin (TX),6,(TX),Austin,4434 Frontier Trl. in
17285,45734,A682074,4400 Tannehill in Austin (TX),5,(TX),Austin,4400 Tannehill in
17288,71356,A682078,6106 Hogan Ave in Austin (TX),6,(TX),Austin,6106 Hogan Ave in
17289,49030,A682079,6700 Decker Ln. in Austin (TX),6,(TX),Austin,6700 Decker Ln. in
17290,109441,A682081,3300 Killingsworth Way in Pflugerville (TX),6,(TX),Pflugerville,3300 Killingsworth Way in
17295,23846,A682086,5603 Jfk Dr in Austin (TX),6,(TX),Austin,5603 Jfk Dr in
17296,113661,A682087,8403 Cedar Elm in Austin (TX),6,(TX),Austin,8403 Cedar Elm in
17298,72081,A682089,7520 Aspen Brook Dr in Austin (TX),7,(TX),Austin,7520 Aspen Brook Dr in
17299,1314,A682099,4310 Ramsey Ave in Austin (TX),6,(TX),Austin,4310 Ramsey Ave in
17300,114873,A682104,9111 Fm 812 in Austin (TX),6,(TX),Austin,9111 Fm 812 in
17304,61422,A682109,1239 Orchard Park Circle in Travis (TX),7,(TX),Travis,1239 Orchard Park Circle in
17307,85808,A682112,207 E Lola in Austin (TX),6,(TX),Austin,207 E Lola in
17309,95965,A682114,2200 Mission Hill #104 in Austin (TX),7,(TX),Austin,2200 Mission Hill #104 in
17310,16049,A682115,2317 S Pleasant Valley in Austin (TX),7,(TX),Austin,2317 S Pleasant Valley in
17315,60655,A682121,2504 Kumquat in Austin (TX),5,(TX),Austin,2504 Kumquat in
17324,130618,A682129,6200 Wagon Bend in Austin (TX),6,(TX),Austin,6200 Wagon Bend in
17333,15774,A682140,7101 Texas 71 D1 in Austin (TX),7,(TX),Austin,7101 Texas 71 D1 in
17334,13646,A682142,6610 Fm 1327 in Travis (TX),6,(TX),Travis,6610 Fm 1327 in
17336,131228,A682145,1105 Collinswood West in Austin (TX),6,(TX),Austin,1105 Collinswood West in
17337,6116,A682146,8106 Parmer Lane in Travis (TX),6,(TX),Travis,8106 Parmer Lane in
17339,13377,A682147,11900 Hobby Horse Court in Austin (TX),7,(TX),Austin,11900 Hobby Horse Court in
17340,62753,A682148,8225 Sam Rayburn in Austin (TX),6,(TX),Austin,8225 Sam Rayburn in
17341,128619,A682150,16419 Fm 969 Rd in Travis (TX),7,(TX),Travis,16419 Fm 969 Rd in
17342,113359,A682152,3518 Malone in Austin (TX),5,(TX),Austin,3518 Malone in
17347,66085,A682161,1200 Barbara Jordan in Austin (TX),6,(TX),Austin,1200 Barbara Jordan in
17348,135078,A682162,2001 Guadalupe St in Austin (TX),6,(TX),Austin,2001 Guadalupe St in
17350,15477,A682165,6920 Carver in Austin (TX),5,(TX),Austin,6920 Carver in
17355,6435,A682170,1301 Crossing Pl in Austin (TX),6,(TX),Austin,1301 Crossing Pl in
17364,139049,A682179,17305 Pearce Ln in Del Valle (TX),7,(TX),Valle,17305 Pearce Ln in Del
17367,46303,A682182,1104 Shady Ln in Austin (TX),6,(TX),Austin,1104 Shady Ln in
17374,42830,A682187,1618 Future Dr in Austin (TX),6,(TX),Austin,1618 Future Dr in
17375,41603,A682188,10513 Hendon St in Austin (TX),6,(TX),Austin,10513 Hendon St in
17376,53176,A682191,5200 Cloverdale Ln in Austin (TX),6,(TX),Austin,5200 Cloverdale Ln in
17377,19089,A682192,21850 Blake Manor in Travis (TX),6,(TX),Travis,21850 Blake Manor in
17379,81409,A682194,12414 Beartrap Ln in Austin (TX),6,(TX),Austin,12414 Beartrap Ln in
17380,2422,A682196,2624 Piping Rock Trl in Austin (TX),7,(TX),Austin,2624 Piping Rock Trl in
17385,90054,A682201,7019 Cooper in Austin (TX),5,(TX),Austin,7019 Cooper in
17386,56614,A682203,1600 Chicon St in Austin (TX),6,(TX),Austin,1600 Chicon St in
17389,53289,A682212,9217 Simmons Rd in Austin (TX),6,(TX),Austin,9217 Simmons Rd in
17392,24308,A682217,1306 Bob Harrison St in Austin (TX),7,(TX),Austin,1306 Bob Harrison St in
17399,61573,A682224,1700 Jj Seabrook in Austin (TX),6,(TX),Austin,1700 Jj Seabrook in
17400,2402,A682229,3737 Keats Dr in Austin (TX),6,(TX),Austin,3737 Keats Dr in
17403,43647,A682238,4900 Howard Ln in Austin (TX),6,(TX),Austin,4900 Howard Ln in
17409,117008,A682247,2109 Garden St in Austin (TX),6,(TX),Austin,2109 Garden St in
17422,52471,A682287,6701 One Oak Rd in Austin (TX),7,(TX),Austin,6701 One Oak Rd in
17425,36290,A682291,8426 Goldfinch Ct in Austin (TX),6,(TX),Austin,8426 Goldfinch Ct in
17438,52535,A682306,5505 Helen St in Austin (TX),6,(TX),Austin,5505 Helen St in
17439,51545,A682307,4800 Friedrich in Austin (TX),5,(TX),Austin,4800 Friedrich in
17440,58201,A682311,1904 E 13Th St in Austin (TX),7,(TX),Austin,1904 E 13Th St in
17442,137290,A682323,8801 S Interstate 35 Frontage Rd in Austin (TX),9,(TX),Austin,8801 S Interstate 35 Frontage Rd in
